hip1x,hip1y,hip1z,hip2x,hip2y,hip2z,hip3x,hip3y,hip3z,lkneex,lkneey,lkneez,lankx,lanky,lankz,rkneex,rkneey,rkneez,rankx,ranky,rankz
11.190811,1590.304199,891.696472,-187.87233,1531.443237,881.900269,-117.38929,1352.204224,857.903564,-142.541519,1286.303589,542.911987,-164.477646,1306.68042,222.971283,80.598969,1461.851807,518.323669,77.903702,1613.275879,222.930725
10.507703,1581.79126,892.186951,-188.577744,1523.132446,882.539856,-118.430374,1343.702881,858.60022,-143.554214,1279.290405,542.741211,-164.840546,1303.668091,222.532959,80.379265,1450.481323,518.657593,77.990562,1605.860962,225.92955
9.86418,1573.260132,892.727356,-189.284149,1514.963501,883.291504,-119.634476,1335.289917,859.424377,-144.694153,1272.595093,542.669006,-165.195282,1300.864624,222.209579,80.251472,1438.546265,519.148926,78.134972,1597.907959,229.297516
9.257729,1564.721558,893.308838,-189.994446,1506.939819,884.136902,-120.993027,1326.973755,860.353394,-145.907669,1266.252441,542.629822,-165.543213,1298.264771,221.975815,80.229607,1426.100342,519.801453,78.335114,1589.425171,233.011398
8.685961,1556.185303,893.921387,-190.710327,1499.061768,885.056274,-122.494255,1318.760376,861.363342,-147.148804,1260.281616,542.570374,-165.887985,1295.865112,221.806244,80.323318,1413.205566,520.618164,78.587364,1580.423462,237.036499
8.146868,1547.6604,894.555298,-191.431915,1491.327637,886.028259,-124.123878,1310.653442,862.429382,-148.383209,1254.682617,542.453247,-166.234619,1293.662109,221.67717,80.536705,1399.92981,521.601746,78.886154,1570.913818,241.326813
7.638977,1539.155762,895.201111,-192.15773,1483.733154,887.03186,-125.865547,1302.654785,863.52771,-149.590363,1249.437744,542.257996,-166.588791,1291.64917,221.568283,80.867821,1386.343506,522.753906,79.224121,1560.907227,245.825607
7.161394,1530.679688,895.849976,-192.884735,1476.273315,888.046631,-127.701416,1294.764038,864.635742,-150.763123,1244.513306,541.97876,-166.956024,1289.817261,221.463593,81.308334,1372.517334,524.074951,79.592445,1550.414795,250.466797
6.71375,1522.240479,896.494263,-193.608566,1468.94104,889.053345,-129.61261,1286.980103,865.733215,-151.905746,1239.864258,541.619873,-167.34053,1288.153198,221.351639,81.843895,1358.519775,525.56366,79.9813,1539.445679,255.176895
6.296083,1513.845703,897.12677,-194.323883,1461.729004,890.034546,-131.57962,1279.300293,866.802124,-153.029648,1235.440186,541.192139,-167.744507,1286.641235,221.22554,82.454727,1344.414429,527.216675,80.3806,1528.009033,259.877716
5.90867,1505.502441,897.741577,-195.024796,1454.62915,890.974854,-133.582672,1271.721069,867.827209,-154.149292,1231.189697,540.708252,-168.167206,1285.26416,221.082596,83.116753,1330.259521,529.028503,80.780731,1516.114014,264.489471
