XHIP1,YHIP1,ZHIP1,XHIP2,YHIP2,ZHIP2,XHIP3,YHIP3,ZHIP3,XHIP4,YHIP4,ZHIP4,XRightThigh1,YRightThigh1,ZRightThigh1,XRightThigh2,YRightThigh2,ZRightThigh2,XRightThigh3,YRightThigh3,ZRightThigh3,XLeftThigh1,YLeftThigh1,ZLeftThigh1,XLeftThigh2,YLeftThigh2,ZLeftThigh2,XLeftThigh3,YLeftThigh3,ZLeftThigh3,XLKNEE,YLKNEE,ZLKNEE,XLANK,YLANK,ZLANK,XLeftTibia3,YLeftTibia3,ZLeftTibia3,XRKNEE,YRKNEE,ZRKNEE,XRANK,YRANK,ZRANK,XRightTibia3,YRightTibia3,ZRightTibia3
197.656906,1793.721802,873.692261,-8.256804,1795.566406,891.312195,161.262558,1580.178833,875.453979,-18.023516,1603.006104,866.085815,-65.279839,1754.594727,767.158081,-11.500231,1699.436768,517.736389,-61.075863,1671.769897,694.184265,249.353775,1705.930908,768.682983,210.391174,1531.235596,561.160522,251.784439,1602.810913,685.494202,209.135269,1523.026978,456.825897,187.061203,1434.1521,119.924706,211.903412,1485.187622,246.40361,-16.962919,1758.410156,431.501404,,,,,,
198.601028,1781.375366,872.724854,-7.313481,1783.800537,890.331421,161.242477,1567.926758,874.877136,-17.995932,1591.54126,865.267395,-64.609932,1743.321655,766.395996,-11.790211,1688.78186,516.885742,-60.836044,1660.682129,693.561646,249.554443,1692.934448,767.812317,209.218658,1517.786377,561.420105,251.86116,1589.59375,684.681641,208.045609,1509.4198,456.453308,184.859985,1426.170044,117.194832,210.124405,1474.561279,244.616455,-17.417511,1748.633179,430.981567,,,,,,
199.393661,1768.620361,871.963684,-6.506904,1771.644653,889.521729,161.294159,1555.263672,874.456299,-17.721355,1579.946289,864.368164,-63.950172,1731.521851,765.629028,-11.935294,1677.469727,516.038818,-60.355408,1648.929199,692.848572,249.634262,1679.555908,767.161011,206.886368,1504.840332,560.979309,251.727737,1575.43457,684.727539,207.174423,1495.471313,456.230774,182.683823,1420.059326,113.914024,208.258102,1464.917358,242.432053,-17.560711,1738.126099,430.400818,,,,,,
200.084137,1755.395264,871.349548,-5.829184,1759.049561,888.830933,161.419022,1542.106567,874.149719,-17.422197,1567.651245,863.519897,-63.33968,1719.283081,764.931335,-12.056016,1665.382202,515.151367,-59.838116,1636.592285,692.18634,249.676636,1665.698486,766.655518,205.428833,1490.492188,561.288086,250.950333,1561.19165,685.05658,206.503235,1481.372925,455.962677,180.300781,1415.18396,110.749123,206.340393,1456.209839,239.853607,-17.628056,1726.952637,429.880371,,,,,,
200.83371,1741.716797,870.858093,-5.094198,1746.131714,888.275208,161.506516,1528.54187,874.037231,-17.252661,1554.770386,862.932861,-62.683628,1706.612427,764.306335,-12.238018,1652.70166,514.431519,-59.386665,1623.84314,691.651978,249.659286,1651.396484,766.335876,206.36908,1474.63562,561.475708,250.663849,1546.648682,684.75116,206.137756,1467.650757,455.134338,177.170181,1409.702881,107.607063,204.054916,1447.80542,237.343872,-17.843336,1714.96167,429.379822,,,,,,
201.612991,1727.898071,870.69342,-4.334287,1733.016846,887.834473,161.495667,1514.687866,874.485779,-17.028696,1541.691162,862.685974,-62.036087,1693.544678,763.702698,-12.603422,1639.160889,513.742737,-59.005722,1610.556641,691.369751,249.797379,1636.748413,766.559509,205.195633,1459.963501,560.493958,249.757431,1532.207031,684.662659,205.233109,1454.804443,454.468964,175.216827,1402.966553,105.735687,201.70137,1438.402466,236.136703,-18.45994,1701.538696,428.628906,,,,,,
202.304611,1714.251221,871.242859,-3.685684,1719.920654,887.447937,161.401962,1500.898804,875.598999,-16.982386,1528.5625,863.054749,-61.457371,1680.236938,763.133423,-13.167055,1624.431763,513.138733,-58.46452,1596.933228,691.473511,250.462769,1622.385742,767.56958,203.873642,1446.856567,561.146179,248.886093,1517.93042,685.377014,203.644653,1442.730713,454.660828,175.415802,1395.755859,105.386086,202.013794,1428.199341,236.989594,-18.946899,1686.831055,427.593567,,,,,,
202.857147,1700.84436,872.610657,-3.224176,1706.904419,887.230164,161.313248,1487.310913,877.447998,-16.931377,1515.556396,863.871521,-60.933998,1666.702271,762.62854,-13.723996,1608.08667,512.687683,-57.835934,1582.858154,691.888245,251.354599,1608.556274,769.634094,203.366699,1433.906372,561.983826,248.368301,1504.248779,687.168579,202.959381,1430.536133,455.661835,175.867126,1390.104126,104.686226,202.680328,1418.522461,237.984711,-19.422689,1670.489624,426.692352,,,,,,
203.208817,1687.530518,874.366516,-2.904048,1694.041138,887.343018,161.57518,1474.064087,880.338379,-16.678217,1502.693604,864.923889,-60.375603,1652.953003,762.153442,-14.284686,1590.503662,512.510437,-57.265743,1568.390259,692.611938,252.106491,1595.013062,772.15271,203.762665,1421.081665,564.317566,248.110229,1490.922485,689.768921,204.123596,1417.668457,457.349792,176.321716,1386.473145,103.390297,203.202591,1409.717773,238.358185,-20.304274,1652.509033,425.735626,,,,,,
203.562378,1674.39856,876.374084,-2.560574,1681.406128,887.735352,161.397263,1460.697754,882.38623,-16.367214,1490.061646,866.067017,-59.656006,1639.198242,761.745972,-15.191623,1572.120239,512.494202,-56.65781,1553.675293,693.394165,252.745834,1581.742676,774.695435,204.421341,1408.565796,567.132996,248.073761,1477.661377,692.355774,206.213806,1404.852539,459.073181,176.384216,1383.750122,102.550232,204.028412,1402.664551,238.164276,-21.726524,1633.229248,424.393341,,,,,,
204.062454,1661.127441,878.321167,-2.029307,1669.000122,888.211487,161.605637,1447.377075,884.640137,-15.857077,1477.658569,867.070679,-58.659767,1625.547974,761.357483,-16.300701,1553.054932,512.128906,-55.950417,1538.825073,693.941406,253.491882,1568.399902,776.885498,204.849426,1395.488403,568.177856,248.176224,1464.474243,694.380798,207.584274,1393.05188,459.408539,176.541718,1381.158447,101.897446,204.615341,1396.547363,237.41832,-23.442869,1613.016357,422.687439,,,,,,
204.875305,1647.934814,880.153931,-1.213294,1656.836182,888.624756,161.816772,1434.378906,886.389038,-15.363601,1465.672363,867.759399,-57.319973,1612.18042,760.96521,-17.784685,1533.493652,511.335266,-55.249306,1523.890015,694.16925,254.366364,1555.047241,778.713257,204.860931,1383.549316,568.601868,248.298706,1451.703369,695.689148,207.924393,1383.273804,458.787598,177.055573,1378.875122,101.150414,205.227966,1391.164063,236.901077,-25.174997,1592.193848,420.676056,,,,,,
205.932892,1634.817749,881.861633,-0.13829,1645.022095,888.848328,162.446609,1421.757446,887.988037,-14.868535,1454.194702,868.234192,-55.666981,1599.039185,760.414978,-19.642614,1513.463867,510.25885,-54.786804,1508.866577,694.065002,255.378571,1541.868286,780.376953,205.015305,1374.147217,567.915771,248.609314,1439.485718,696.407532,208.33194,1374.556519,458.298065,177.359665,1377.274414,100.590736,206.089203,1386.515259,236.725647,-26.83835,1570.818726,418.424896,,,,,,
207.194946,1621.807739,883.478149,1.185518,1633.527222,888.804749,162.070374,1409.172974,888.640991,-14.434188,1443.066895,868.576477,-53.599754,1586.182983,759.72699,-21.554815,1493.216675,509.343018,-54.652531,1493.98938,693.92572,256.5979,1528.907104,781.990845,205.025436,1364.930054,567.585999,249.218002,1427.978516,696.755066,208.99118,1366.317993,457.820679,177.452911,1376.174561,100.358841,206.688431,1382.516357,236.445526,-28.276419,1548.953613,416.416931,,,,,,
208.585098,1609.099854,885.085388,2.6568,1622.256958,888.487732,161.671036,1396.993286,889.803406,-14.064495,1432.173096,868.97876,-51.184929,1573.46875,758.930603,-22.991121,1473.109375,508.778381,-54.786629,1479.234863,693.855713,258.001465,1516.351685,783.676025,205.656708,1356.45874,566.9953,250.047379,1417.143799,697.253113,209.50885,1359.148438,457.209534,177.531586,1375.295654,100.095909,206.796249,1378.955444,236.067856,-29.374802,1526.774536,414.778748,,,,,,
209.951675,1596.782837,886.780151,4.113089,1611.128784,887.960449,162.443939,1385.146729,890.990906,-13.673186,1421.313354,869.558655,-48.531677,1560.754272,758.097229,-23.889626,1453.533447,508.846466,-55.197334,1464.822021,694.204651,259.468719,1504.350464,785.461914,206.1866,1348.627441,566.507385,250.228012,1407.786743,697.591309,209.950439,1352.999146,456.62384,177.595612,1374.430542,99.766144,206.915009,1375.985962,235.766495,-30.265478,1504.625977,413.73526,,,,,,
211.200699,1584.871948,888.531311,5.470035,1600.131714,887.347534,162.618835,1373.493408,892.20459,-13.265877,1410.412476,870.559692,-46.034763,1547.941895,757.195313,-24.488247,1434.324463,509.628845,-55.968674,1451.044922,695.155029,260.844818,1492.871582,787.192017,206.857849,1341.137573,566.091248,251.226608,1396.93103,698.539124,210.202347,1348.72583,455.46698,177.577957,1373.917969,99.501862,207.249451,1373.798218,235.454727,-31.027891,1482.697998,413.348785,,,,,,
212.261108,1573.258667,890.22345,6.671754,1589.141113,886.835022,162.722412,1361.780762,893.142822,-12.780403,1399.376831,871.90918,-43.840134,1534.909912,756.543823,-24.910984,1415.357178,510.968445,-56.363625,1437.050659,696.229858,261.989044,1481.975098,788.812805,207.775223,1333.868164,565.907166,252.081635,1386.837402,699.185364,210.89827,1343.092896,455.067474,177.529678,1373.838135,99.51532,207.56781,1372.036865,235.204132,-31.761415,1460.797974,413.491241,-1.025062,1785.993896,201.657349,,,
213.190231,1561.989014,891.802002,7.683074,1578.115845,886.569397,163.560013,1350.325073,894.38916,-12.163408,1388.203369,873.648926,-42.102951,1521.613037,756.324829,-25.257893,1396.352905,512.850403,-56.512936,1422.981201,697.683289,262.912292,1471.473022,790.234497,207.913651,1326.675049,565.218628,252.728165,1377.550903,699.543884,211.471161,1336.41687,455.156494,177.573776,1373.695313,99.61657,208.091904,1370.133057,235.00885,-32.460735,1438.91272,414.247162,-1.682039,1765.965454,205.77626,,,
