Tiempo,Carga,Extension_de_traccion,Esfuerzo_de_traccion,Deformacion_dos,Deformacion_media,Desplazamiento_Deformacion_uno,Desplazamiento_Deformacion_dos
0,0.38098,0,0.00952,0,0,0.00099,0
0.1,1.28218,5,0.03205,0,0,0.00169,0
0.2,6.34532,0.01578,0.15863,0,0,0.00427,0
0.3,10.06844,0.02516,0.25171,0,0,0.00601,0
0.4,13.79781,0.03297,0.34495,0,0,0.00761,0
0.5,17.49741,0.04187,0.43744,0,0,0.00962,0
0.6,20.84594,0.04984,0.52115,0,0,0.01142,0
0.7,24.88643,0.05812,0.62216,0,0,0.01333,0
0.8,28.30156,0.06656,0.70754,0,0,0.0153,0
0.9,31.97295,75,0.79932,0,0,0.01708,0
1,35.4116,0.08391,0.88529,0,0,0.0188,0
1.1,38.79852,0.09125,0.96996,0,0,0.02049,0
1.2,42.60235,0.10031,1.06506,0,0,0.02221,0
1.3,46.21026,0.10828,1.15526,0,0,0.02423,0
1.4,49.86441,0.11687,1.24661,0,0,0.02611,0
1.5,52.94023,125,1.32351,0,0,0.02781,0
1.6,56.6696,0.13312,1.41674,0,0,0.02955,0
1.7,60.1827,0.14172,1.50457,0,0,0.03127,0
1.8,63.61664,0.14969,1.59042,0,0,0.03277,0
1.9,66.21757,0.15812,1.65544,0,0,0.03205,0
2,68.63042,0.16641,1.71576,0,0,0.03294,0
2.1,71.67176,0.17547,1.79179,0,0,0.03645,0
2.2,73.41381,0.18312,1.83535,0,0,0.03892,0
2.3,74.71074,0.19187,1.86777,0,0,0.0427,0
2.4,76.22789,0.19984,1.9057,0,0,0.04583,0
2.5,77.84141,0.20797,1.94604,0,0,0.05037,0
2.6,79.80915,0.21672,1.99523,0,0,0.05437,0
2.7,81.52534,0.22469,2.03813,0,0,0.05773,0
2.8,83.47036,0.23406,2.08676,0,0,0.05962,0
2.9,85.05411,0.24156,2.12635,0,0,0.06136,0
3,87.23735,0.25031,2.18093,0,0,0.06311,0
3.1,89.49974,0.25812,2.23749,0,0,0.06522,0
3.2,92.12418,0.26656,2.3031,0,0,0.06752,0
3.3,94.62088,275,2.36552,0,0,0.06982,0
3.4,97.58071,0.28328,2.43952,0,0,0.07161,0
3.5,100.07663,0.29187,2.50192,0,0,0.07243,0
3.6,102.65639,0.29953,2.56641,0,0,0.07316,0
3.7,105.80274,0.30891,2.64507,0,0,0.07407,0
3.8,108.48674,0.31625,2.71217,0,0,0.07531,0
3.9,111.75063,0.32531,2.79377,0,0,0.0774,0
4,114.00519,0.33328,2.85013,0,0,0.07927,0
4.1,117.56059,0.34172,2.93901,0,0,0.08148,0
4.2,120.57372,0.34984,3.01434,0,0,0.08259,0
4.3,123.51867,0.35781,3.08797,0,0,0.08379,0
4.4,127.03411,0.36687,3.17585,0,0,0.08467,0
4.5,130.0966,0.37484,3.25241,0,0,0.08622,0
4.6,133.35031,0.38391,3.33376,0,0,0.08812,0
4.7,136.42299,0.39172,3.41057,0,0,0.09023,0
4.8,140.07087,0.40047,3.50177,0,0,0.0923,0
4.9,143.11378,0.40828,3.57784,0,0,0.09375,0
5,146.51088,0.41641,3.66277,0,0,0.09529,0
5.1,149.39628,0.42484,3.73491,0,0,0.09623,0
5.2,152.84433,0.43312,3.82111,0,0,0.09749,0
5.3,156.06512,0.44219,3.90163,0,0,0.09917,0
5.4,158.74206,0.44953,3.96855,0,0,0.10124,0
5.5,162.47771,0.45891,4.06194,0,0,0.10343,0
5.6,165.48064,0.46656,4.13702,0,0,105,0
5.7,169.15987,0.47469,4229,0,0,0.10658,0
5.8,171.74591,0.48328,4.29365,0,0,0.1079,0
5.9,175.09209,0.49141,4.3773,0,0,0.10973,0
6,178.48136,0.50047,4.46203,0,0,0.11125,0
6.1,181.51957,0.50766,4.53799,0,0,0.11317,0
6.2,184.93548,0.51703,4.62339,0,0,0.11507,0
6.3,188.25502,0.52484,4.70638,0,0,0.11678,0
6.4,191.90211,0.53359,4.79755,0,0,0.11842,0
6.5,194.79141,0.54172,4.86979,0,0,0.11938,0
6.6,198.52393,0.55031,4.9631,0,0,0.12074,0
6.7,201.59425,0.55859,5.03986,0,0,0.12225,0
6.8,204.9953,0.56625,5.12488,0,0,124,0
6.9,208.41905,0.57531,5.21048,0,0,0.12611,0
7,211.66021,0.58297,5.29151,0,0,0.1277,0
7.1,215.19917,0.59219,5.37998,0,0,0.12904,0
7.2,218.28909,0.59969,5.45723,0,0,0.13042,0
7.3,221.99652,0.60859,5.54991,0,0,0.1318,0
7.4,225.10211,0.61672,5.62755,0,0,0.13297,0
7.5,228.65438,0.62453,5.71636,0,0,0.1347,0
7.6,231.89948,0.63328,5.79749,0,0,0.1366,0
7.7,235.17825,0.64156,5.87946,0,0,0.13833,0
7.8,238.6122,0.65031,5.9653,0,0,0.13998,0
7.9,241.78675,0.65797,6.04467,0,0,0.14133,0
8,245.10473,0.66687,6.12762,0,0,0.14258,0
8.1,248.40545,0.67484,6.21014,0,0,0.14404,0
8.2,252.34956,0.68312,6.30874,0,0,0.14584,0
8.3,255.26942,0.69156,6.38174,0,0,0.14735,0
8.4,258.98078,0.7,6.47452,0,0,0.1494,0
8.5,262.01662,0.70891,6.55042,0,0,0.15096,0
8.6,265.2382,0.71625,6.63096,0,0,0.15243,0
8.7,268.83513,0.72531,6.72088,0,0,0.15379,0
8.8,272.25185,0.73328,6.8063,0,0,0.15518,0
8.9,275.56433,0.74187,6.88911,0,0,0.15679,0
9,278.71067,0.75,6.96777,0,0,0.15829,0
9.1,282.2214,0.75828,7.05554,0,0,0.16008,0
9.2,285.57386,0.76672,7.13935,0,0,0.16174,0
9.3,289.10653,0.77469,7.22766,0,0,0.16342,0
9.4,292.00916,0.78328,7.30023,0,0,0.16469,0
9.5,295.43841,0.79156,7.38596,0,0,0.16612,0
9.6,298.90134,0.80047,7.47253,0,0,0.16759,0
9.7,301.71543,0.80812,7.54289,0,0,0.16917,0
9.8,305.49653,0.81672,7.63741,0,0,0.17117,0
9.9,308.81215,0.82484,7.7203,0,0,0.17257,0
10,312.03136,0.83297,7.80078,0,0,0.17442,0
10.1,315.44729,0.84172,7.88618,0,0,0.1757,0
10.2,318.79426,0.84969,7.96986,0,0,0.17701,0
10.3,321.91866,0.85906,8.04797,0,0,0.17867,0
10.4,325.40746,0.86656,8.13519,0,0,0.18017,0
10.5,328.70583,0.87531,8.21765,0,0,0.18199,0
10.6,331.71738,0.88328,8.29293,0,0,0.18362,0
10.7,335.33077,0.89156,8.38327,0,0,0.18549,0
10.8,338.13859,0.89984,8.45346,0,0,0.18651,0
10.9,341.40013,0.90828,8535,0,0,0.18748,0
11,343.85766,0.91672,8.59644,0,0,0.18841,0
11.1,346.86921,0.92453,8.67173,0,0,0.19006,0
11.2,350.54609,0.93375,8.76365,0,0,0.19181,0
11.3,353.46516,0.94125,8.83663,0,0,0.19291,0
11.4,357.18828,0.95031,8.92971,0,0,0.19459,0
11.5,360.12616,0.95812,9.00315,0,0,0.19572,0
11.6,363.77641,0.96687,9.09441,0,0,0.19744,0
11.7,366.55758,975,9.16394,0,0,0.19914,0
11.8,370.32536,0.98281,9.25813,0,0,0.20093,0
11.9,373.4858,0.99187,9.33714,0,0,0.20263,0
12,376.99263,0.99984,9.42482,0,0,0.2041,0
12.1,380.20322,1.00891,9.50508,0,0,0.20532,0
12.2,383.03453,1.01672,9.57586,0,0,0.20669,0
12.3,386.91908,1.02547,9.67298,0,0,0.20875,0
12.4,389712,1.03328,9.7428,0,0,0.21003,0
12.5,393.22195,1.04141,9.83055,0,0,0.21194,0
12.6,396.23585,1.04984,9.9059,0,0,0.21371,0
12.7,399.59066,1.05812,9.98977,0,0,0.21506,0
12.8,402.95641,1.06719,10.07391,0,0,0.21639,0
12.9,405.9053,1.07437,10.14763,0,0,0.2176,0
13,409.49048,1.08391,10.23726,0,0,0.21953,0
13.1,412.61488,1.09156,10.31537,0,0,0.22125,0
13.2,416.14207,1.09984,10.40355,0,0,0.22301,0
13.3,419.19597,1.10828,10.4799,0,0,0.22457,0
13.4,422.44573,1.11641,10.56114,0,0,0.22622,0
13.5,425.60385,1.12547,10.6401,0,0,0.22774,0
13.6,428.49234,1.13266,10.71231,0,0,0.2293,0
13.7,432.29619,1.14187,10.8074,0,0,0.23086,0
13.8,435.59927,1.14984,10.88998,0,0,0.23236,0
13.9,438.84669,1.15844,10.97117,0,0,0.23429,0
14,441.6639,1.16656,11.0416,0,0,0.23568,0
14.1,445.33452,1.17531,11.13336,0,0,0.23719,0
14.2,448.30064,1.18359,11.20752,0,0,0.23863,0
14.3,451.52688,1.19109,11.28817,0,0,0.24028,0
14.4,454.94596,1.20031,11.37365,0,0,0.24186,0
14.5,458.02961,1.20812,11.45074,0,0,0.24335,0
14.6,461.37422,1.21719,11.53436,0,0,0.24495,0
14.7,464.24707,1.22469,11.60618,0,0,0.24664,0
14.8,467.66689,1.23359,11.69167,0,0,0.24826,0
14.9,470.78193,1.24187,11.76955,0,0,0.24958,0
15,474.11397,1.24953,11.85285,0,0,0.25127,0
15.1,477.37318,1.25828,11.93433,0,0,0.25276,0
15.2,480.65116,1.26656,12.01628,0,0,0.25412,0
15.3,483.75442,1.27531,12.09386,0,0,0.25582,0
15.4,486.78871,1.28297,12.16972,0,0,0.25748,0
15.5,490.13407,1.29187,12.25335,0,0,0.2591,0
15.6,493.37605,1.29984,12.3344,0,0,0.26075,0
15.7,496.80998,1.30828,12.42025,0,0,0.26274,0
15.8,499.5449,1.31656,12.48862,0,0,0.26374,0
15.9,502.9154,1.32516,12.57288,0,0,0.26536,0
16,506.30076,1.33406,12.65752,0,0,0.26679,0
16.1,509.13049,1.34109,12.72826,0,0,0.26812,0
16.2,512.43515,1.35031,12.81088,0,0,0.27004,0
16.3,515.59638,1.35828,12.88991,0,0,0.27187,0
16.4,518.97313,1.36687,12.97433,0,0,0.27342,0
16.5,521.85929,1375,13.04648,0,0,0.27479,0
16.6,525.11846,1.38312,13.12796,0,0,0.27618,0
16.7,528.14255,1.39172,13.20356,0,0,0.27772,0
16.8,531.50677,1.39969,13.28767,0,0,0.27945,0
16.9,534.47443,1.40812,13.36186,0,0,0.28083,0
17,537.6623,1.41656,13.44156,0,0,0.28279,0
17.1,541.07038,1.42547,13.52676,0,0,0.28452,0
17.2,543.78104,1.43312,13.59453,0,0,0.28581,0
17.3,547.29884,1.44187,13.68247,0,0,0.28755,0
17.4,550.30962,1.44984,13.75774,0,0,0.28885,0
17.5,553.5061,1.45797,13.83765,0,0,0.29053,0
17.6,556.79744,1.46672,13.91994,0,0,0.29185,0
17.7,559.8811,1.47469,13.99703,0,0,0.29356,0
17.8,563.18021,1.48406,14.0795,0,0,0.2955,0
17.9,565.99509,1.49156,14.14988,0,0,0.29682,0
18,569.41258,1.50031,14.23531,0,0,0.29821,0
