Tiempo,Carga,Extension_de_traccion,Esfuerzo_de_traccion,Deformacion_dos,Deformacion_media,Desplazamiento_Deformacion_uno,Desplazamiento_Deformacion_dos
0,1.51667,0,0.03792,0,0,0.00014,0
0.1,2.43041,5,0.06076,0,0,0.00067,0
0.2,7.31645,0.01578,0.18291,0,0,0.00287,0
0.3,10.70024,0.02516,0.26751,0,0,0.00438,0
0.4,14.19453,0.03281,0.35486,0,0,0.00597,0
0.5,17.44823,0.04187,0.43621,0,0,0.00749,0
0.6,20.74739,0.04984,0.51868,0,0,0.00908,0
0.7,24.42034,0.05812,0.61051,0,0,0.01063,0
0.8,27.39507,0.06656,0.68488,0,0,0.01292,0
0.9,30.4944,75,0.76236,0,0,0.0136,0
1,33.46599,0.08391,0.83665,0,0,0.01493,0
1.1,36.24559,0.09125,0.90614,0,0,0.01627,0
1.2,39.80962,0.10031,0.99524,0,0,0.01792,0
1.3,43.12523,0.10828,1.07813,0,0,0.01946,0
1.4,46.70023,0.11687,1.16751,0,0,0.02126,0
1.5,49.66242,125,1.24156,0,0,0.02272,0
1.6,53.2766,0.13328,1.33192,0,0,0.02441,0
1.7,56.64315,0.14172,1.41608,0,0,0.02583,0
1.8,59.98854,0.14969,1.49971,0,0,0.02725,0
1.9,63.32609,0.15812,1.58315,0,0,0.02906,0
2,66.66209,0.16641,1.66655,0,0,0.03072,0
2.1,69.99024,0.17547,1.74976,0,0,0.03227,0
2.2,72.87798,0.18312,1.82195,0,0,0.03384,0
2.3,76.22258,0.19187,1.90556,0,0,0.03571,0
2.4,78.8768,0.19984,1.97192,0,0,0.03737,0
2.5,82.23708,0.20797,2.05593,0,0,0.03921,0
2.6,85.16792,0.21672,2.1292,0,0,0.04111,0
2.7,88.26646,0.22484,2.20666,0,0,0.04274,0
2.8,91.5233,0.23406,2.28808,0,0,0.04483,0
2.9,94.12736,0.24156,2.35318,0,0,0.04694,0
3,97.13736,0.25031,2.42843,0,0,0.04925,0
3.1,100.32131,0.25812,2.50803,0,0,0.05115,0
3.2,103.43161,0.26656,2.58579,0,0,0.05404,0
3.3,105.83035,0.27484,2.64576,0,0,0.05673,0
3.4,108.98297,0.28328,2.72457,0,0,0.05908,0
3.5,111.81664,0.29187,2.79542,0,0,0.06173,0
3.6,114.58292,0.29953,2.86457,0,0,0.06385,0
3.7,117.7512,0.30891,2.94378,0,0,0.06623,0
3.8,120.15308,0.31625,3.00383,0,0,0.06805,0
3.9,123.23987,0.32531,3081,0,0,0.07003,0
4,125.62608,0.33312,3.14065,0,0,0.07177,0
4.1,128.48326,0.34187,3.21208,0,0,0.07382,0
4.2,130.82166,0.35,3.27054,0,0,0.07553,0
4.3,133.70314,0.35766,3.34258,0,0,0.07723,0
4.4,136.72645,0.36687,3.41816,0,0,0.07895,0
4.5,139.49978,0.37484,3.48749,0,0,0.08085,0
4.6,142.48547,0.38391,3.56214,0,0,0.08228,0
4.7,145.46961,0.39156,3.63674,0,0,0.08394,0
4.8,149.02031,0.40047,3.72551,0,0,0.08594,0
4.9,151.63221,0.40828,3.79081,0,0,0.08734,0
5,155.26207,0.41641,3.88155,0,0,0.08907,0
5.1,158.11533,425,3.95288,0,0,0.09071,0
5.2,161.16215,0.43312,4.02905,0,0,0.09223,0
5.3,164.6721,0.44219,4.1168,0,0,0.09393,0
5.4,167.58649,0.44953,4.18966,0,0,0.09519,0
5.5,170.85038,0.45891,4.27126,0,0,0.09715,0
5.6,174.00613,0.46656,4.35015,0,0,0.09839,0
5.7,177.32958,0.47469,4.43324,0,0,0.10001,0
5.8,180.16561,0.48328,4.50414,0,0,0.1016,0
5.9,183645,0.49141,4.59113,0,0,0.10338,0
6,186.76078,0.50047,4.66902,0,0,0.10475,0
6.1,189.7794,0.50766,4.74448,0,0,0.10614,0
6.2,193.09109,0.51703,4.82728,0,0,0.10796,0
6.3,196.29386,0.52484,4.90735,0,0,0.10946,0
6.4,199.71605,0.53359,4.9929,0,0,0.11092,0
