Tiempo,Carga,Extension_de_traccion,Esfuerzo_de_traccion,Deformacion_dos,Deformacion_media,Desplazamiento_Deformacion_uno,Desplazamiento_Deformacion_dos
0,0.87541,0,0.02189,0,0,0.00047,0
0.1,2.07675,5,0.05192,0,0,0.00061,0
0.2,6.84916,0.01578,0.17123,0,0,0.00279,0
0.3,10.72038,0.02516,0.26801,0,0,0.00459,0
0.4,14.31184,0.03297,0.3578,0,0,0.00613,0
0.5,18.02319,0.04187,0.45058,0,0,0.0076,0
0.6,21.58252,0.05,0.53956,0,0,0.00931,0
0.7,25.45531,0.05812,0.63638,0,0,0.01085,0
0.8,28.80618,0.06656,0.72015,0,0,0.01234,0
0.9,32.48149,75,0.81204,0,0,0.01399,0
1,36.20852,0.08391,0.90521,0,0,0.01546,0
1.1,39.30785,0.09125,0.9827,0,0,0.01708,0
1.2,43.07484,0.10031,1.07687,0,0,0.0186,0
1.3,46.7094,0.10828,1.16773,0,0,0.02021,0
1.4,50.2797,0.11687,1.25699,0,0,0.02188,0
1.5,51.85091,125,1.29627,0,0,0.02325,0
1.6,50.07438,0.13328,1.25186,0,0,0.03589,0
1.7,53.24893,0.14172,1.33122,0,0,0.04597,0
1.8,56.06067,0.14969,1.40152,0,0,0.0443,0
1.9,57.35368,0.15812,1.43384,0,0,0.04039,0
2,59.33709,0.16641,1.48343,0,0,0.04805,0
2.1,61.94664,0.17547,1.54867,0,0,0.05722,0
2.2,64.1338,0.18312,1.60335,0,0,0.05498,0
2.3,66.84052,0.19187,1.67101,0,0,0.05308,0
2.4,69.22908,0.19984,1.73073,0,0,0.06118,0
2.5,71.92561,0.20797,1.79814,0,0,0.06739,0
2.6,74.46933,0.21672,1.86173,0,0,0.06406,0
2.7,76.79833,0.22469,1.91996,0,0,0.06356,0
2.8,79.68059,0.23406,1.99201,0,0,0.0706,0
2.9,82.23841,0.24156,2.05596,0,0,0.07385,0
3,85.04779,0.25031,2.12619,0,0,0.0702,0
3.1,87.6973,0.25812,2.19243,0,0,0.07141,0
3.2,90.93768,0.26656,2.27344,0,0,0.07804,0
3.3,93.74863,0.27484,2.34372,0,0,0.07912,0
3.4,96.99763,0.28328,2.42494,0,0,0.07639,0
3.5,100.32891,0.29187,2.50822,0,0,0.07822,0
3.6,103.47996,0.29937,2587,0,0,0.08396,0
3.7,106.94682,0.30891,2.67367,0,0,0.08405,0
3.8,109.87218,0.31625,2.7468,0,0,0.08179,0
3.9,113.53573,0.32531,2.83839,0,0,0.08521,0
4,116.14684,0.33312,2.90367,0,0,0.08967,0
4.1,119.94754,0.34187,2.99869,0,0,0.08926,0
4.2,122.44032,0.35,3.06101,0,0,0.08783,0
4.3,126.0498,0.35766,3.15124,0,0,0.09157,0
4.4,129.25022,0.36687,3.23126,0,0,0.09547,0
4.5,132.54153,0.37484,3.31354,0,0,0.09428,0
4.6,135.86577,0.38391,3.39664,0,0,0.09399,0
4.7,138.68455,0.39156,3.46711,0,0,0.09793,0
4.8,142.31127,0.40047,3.55778,0,0,0.10075,0
4.9,145.29383,0.40828,3.63235,0,0,0.09932,0
5,148.60631,0.41641,3.71516,0,0,0.10021,0
