Tiempo,Carga,Extension_de_traccion,Esfuerzo_de_traccion,Deformacion_dos,Deformacion_media,Desplazamiento_Deformacion_uno,Desplazamiento_Deformacion_dos
0,0.50226,0,0.01256,0,0,0.0001,0
0.1,0.88468,5,0.02212,0,0,0.00032,0
0.2,3.78026,0.01578,0.09451,0,0,3,0
0.3,5.56462,0.02516,0.13912,0,0,0.00492,0
0.4,7.44694,0.03297,0.18617,0,0,0.00638,0
0.5,9.55966,0.04187,0.23899,0,0,0.0084,0
0.6,11.5031,0.05,0.28758,0,0,0.00999,0
0.7,13.74982,0.05812,0.34375,0,0,0.0118,0
0.8,15.31555,0.06656,0.38289,0,0,0.0136,0
0.9,17.43766,75,0.43594,0,0,0.01526,0
1,19.40306,0.08391,0.48508,0,0,0.0169,0
1.1,21.15686,0.09125,0.52892,0,0,0.0188,0
1.2,23.09011,0.10031,0.57725,0,0,0.02049,0
1.3,25.11271,0.10828,0.62782,0,0,0.02226,0
1.4,26.95977,0.11687,0.67399,0,0,0.02383,0
1.5,28.70809,125,0.7177,0,0,0.02568,0
1.6,31.07627,0.13328,0.77691,0,0,0.02761,0
1.7,32.70469,0.14172,0.81762,0,0,0.02931,0
1.8,34.79703,0.14969,0.86993,0,0,0.03095,0
1.9,36.48892,0.15812,0.91222,0,0,0.03271,0
2,38.27485,0.16641,0.95687,0,0,0.03431,0
2.1,40386,0.17547,1.00965,0,0,0.03635,0
2.2,42.00737,0.18312,1.05018,0,0,0.03768,0
2.3,44153,0.19187,1.10382,0,0,0.03975,0
2.4,46.10193,0.19984,1.15255,0,0,0.04115,0
2.5,47.85652,0.20797,1.19641,0,0,0.04319,0
2.6,49.95904,0.21672,1.24898,0,0,0.0449,0
2.7,51.70344,0.22469,1.29259,0,0,0.04666,0
2.8,53.53247,0.23406,1.33831,0,0,0.0485,0
2.9,55.30352,0.24156,1.38259,0,0,0.04998,0
3,57.40996,0.25031,1.43525,0,0,0.05208,0
3.1,59.03211,0.25812,1.4758,0,0,0.05362,0
3.2,61.2514,0.26656,1.53129,0,0,0.05563,0
3.3,62.94408,0.27484,1.5736,0,0,0.0571,0
3.4,64.91574,0.28328,1.62289,0,0,0.05892,0
3.5,66.57394,0.29187,1.66435,0,0,0.06037,0
3.6,68.75169,0.29953,1.71879,0,0,0.06249,0
3.7,70.56505,0.30891,1.76413,0,0,0.06437,0
3.8,72.17859,0.31625,1.80446,0,0,0.06589,0
3.9,74.38847,0.32531,1.85971,0,0,0.06769,0
4,76.03256,0.33312,1.90081,0,0,0.06919,0
4.1,77.97914,0.34172,1.94948,0,0,0.07094,0
4.2,79.62559,0.35,1.99064,0,0,0.07286,0
4.3,81.58393,0.35766,2.0396,0,0,0.07473,0
4.4,83.56263,0.36687,2.08907,0,0,0.07629,0
4.5,85.2083,0.37484,2.13021,0,0,0.07848,0
4.6,87.13372,0.38391,2.17834,0,0,0.08027,0
4.7,88.57092,0.39172,2.21427,0,0,0.08254,0
4.8,88.97764,0.40047,2.22444,0,0,0.09563,0
4.9,90.53239,0.40828,2.26331,0,0,0.09745,0
5,92.47741,0.41641,2.31194,0,0,0.09932,0
5.1,94.41694,425,2.36042,0,0,0.10075,0
5.2,96.17701,0.43312,2.40443,0,0,0.10245,0
5.3,97.93238,0.44219,2.44831,0,0,0.10427,0
5.4,99.5177,0.44953,2.48794,0,0,0.10643,0
5.5,101.36397,0.45891,2.5341,0,0,0.10898,0
5.6,103.09897,0.46656,2.57747,0,0,0.11129,0
5.7,104.9476,0.47469,2.62369,0,0,0.11362,0
5.8,106.58542,0.48328,2.66464,0,0,0.11535,0
5.9,108.37762,0.49141,2.70944,0,0,0.11784,0
6,110.05932,0.50047,2.75148,0,0,0.11963,0
6.1,111.53572,0.50766,2.78839,0,0,0.12172,0
6.2,113.44077,0.51703,2.83602,0,0,0.12391,0
6.3,115.24002,0.52484,2881,0,0,0.12558,0
6.4,116.97266,0.53359,2.92432,0,0,128,0
6.5,118.63948,0.54156,2.96599,0,0,0.12969,0
6.6,120.64249,0.55031,3.01606,0,0,0.13178,0
6.7,122.21996,0.55859,3.0555,0,0,0.13369,0
6.8,123.82017,0.56609,3.0955,0,0,0.13547,0
6.9,125.73462,0.57531,3.14337,0,0,0.13745,0
7,127.18046,0.58297,3.17951,0,0,0.13952,0
7.1,129.03144,0.59219,3.22579,0,0,0.14144,0
7.2,130.61676,0.59984,3.26542,0,0,0.14323,0
7.3,132.54532,0.60859,3.31363,0,0,0.14519,0
7.4,134.40334,0.61672,3.36008,0,0,0.14679,0
7.5,136.23943,0.62453,3.40599,0,0,0.14859,0
7.6,137.8937,0.63328,3.44734,0,0,0.15036,0
7.7,139.66396,0.64141,3.4916,0,0,0.15225,0
7.8,141.49927,0.65047,3.53748,0,0,0.15412,0
7.9,142.94824,0.65797,3.57371,0,0,0.15563,0
8,144.78589,0.66687,3.61965,0,0,0.1576,0
8.1,146.55772,0.67484,3.66394,0,0,0.15917,0
8.2,148.43455,0.68312,3.71086,0,0,0.16138,0
8.3,150.06532,0.69156,3.75163,0,0,0.16266,0
8.4,151.74311,0.7,3.79358,0,0,0.16484,0
8.5,153.71006,0.70891,3.84275,0,0,0.16635,0
8.6,155.24131,0.71625,3.88103,0,0,0.16788,0
8.7,157.2357,0.72531,3.93089,0,0,0.16978,0
