Tiempo,Carga,Extension_de_traccion,Esfuerzo_de_traccion,Deformacion_dos,Deformacion_media,Desplazamiento_Deformacion_uno,Desplazamiento_Deformacion_dos
0,0.16326,0,0.00408,0,0,-0.0003,0
0.1,0.90303,0.00484,0.02258,0,0,0.00019,0
0.2,3.3676,0.01578,0.08419,0,0,0.00253,0
0.3,5.59708,0.02516,0.13993,0,0,0.00456,0
0.4,7.33599,0.03297,0.1834,0,0,0.00618,0
0.5,9.79899,0.04187,0.24497,0,0,0.00823,0
0.6,11.49324,0.05,0.28733,0,0,0.00996,0
0.7,13.55972,0.05812,0.33899,0,0,0.01212,0
0.8,15.38562,0.06656,0.38464,0,0,0.01375,0
0.9,17.70913,75,0.44273,0,0,0.01564,0
1,19.28583,0.08391,0.48215,0,0,0.0172,0
1.1,21.19245,0.09125,0.52981,0,0,0.01908,0
1.2,23.32946,0.10031,0.58324,0,0,0.02091,0
1.3,25.32305,0.10844,0.63308,0,0,0.02264,0
1.4,27.2571,0.11687,0.68143,0,0,0.02472,0
1.5,29.19663,125,0.72992,0,0,0.02605,0
1.6,31.35401,0.13328,0.78385,0,0,0.02817,0
1.7,32.97694,0.14172,0.82442,0,0,0.02989,0
1.8,34.89688,0.14969,0.87242,0,0,0.03176,0
1.9,36.92418,0.15812,0.9231,0,0,0.03345,0
2,38.8112,0.16641,0.97028,0,0,0.03529,0
2.1,40.82047,0.17547,1.02051,0,0,0.03719,0
2.2,42.73257,0.18312,1.06831,0,0,0.03891,0
2.3,44.55298,0.19187,1.11382,0,0,0.04069,0
2.4,46.73074,0.19984,1.16827,0,0,0.04219,0
2.5,48.7596,0.20797,1.21899,0,0,0.04429,0
2.6,50.43269,0.21672,1.26082,0,0,0.04582,0
2.7,52.39808,0.22469,1.30995,0,0,0.04761,0
2.8,54.75451,0.23406,1.36886,0,0,0.04935,0
2.9,56.12746,0.24156,1.40319,0,0,0.05105,0
3,58.25193,0.25031,1.4563,0,0,0.05291,0
3.1,60.1507,0.25812,1.50377,0,0,0.05444,0
3.2,62.17252,0.26656,1.55431,0,0,0.05654,0
3.3,64.01174,0.27484,1.60029,0,0,0.05802,0
3.4,65.88309,0.28328,1.64708,0,0,0.05989,0
3.5,67.69723,0.29172,1.69243,0,0,0.06148,0
3.6,69.56937,0.29953,1.73923,0,0,0.06317,0
3.7,71.92579,0.30891,1.79814,0,0,0.06528,0
3.8,73.49466,0.31641,1.83737,0,0,0.06676,0
3.9,75.61834,0.32531,1.89046,0,0,0.06862,0
4,77.25773,0.33312,1.93144,0,0,0.07018,0
4.1,79.32108,0.34172,1.98303,0,0,0.07203,0
4.2,81.25904,0.35,2.03148,0,0,0.07375,0
4.3,83.03478,0.35766,2.07587,0,0,0.07554,0
4.4,85.16395,0.36687,2.1291,0,0,0.07718,0
4.5,86.98045,0.37484,2.17451,0,0,0.0788,0
4.6,88.81183,0.38391,2.2203,0,0,0.08076,0
4.7,90.77722,0.39156,2.26943,0,0,0.08202,0
4.8,92.8343,0.40047,2.32086,0,0,0.08406,0
4.9,94.45096,0.40828,2.36127,0,0,0.08556,0
5,96.63812,0.41641,2.41595,0,0,0.08724,0
5.1,98.37155,425,2.45929,0,0,0.08903,0
5.2,100.1042,0.43312,2.5026,0,0,0.09061,0
5.3,102.12208,0.44219,2.55305,0,0,0.0924,0
5.4,103.78028,0.44937,2.59451,0,0,94,0
5.5,105.90005,0.45891,2.6475,0,0,0.09579,0
5.6,107.5222,0.46656,2.68806,0,0,0.09727,0
5.7,109.59103,0.47469,2.73978,0,0,0.09909,0
5.8,111.22415,0.48328,2.7806,0,0,0.1006,0
5.9,113.20208,0.49141,2.83005,0,0,0.10247,0
6,115.09381,0.50047,2.87735,0,0,0.10407,0
6.1,116.98554,0.50766,2.92464,0,0,0.10551,0
6.2,118.74717,0.51703,2.96868,0,0,0.10758,0
6.3,120624,0.52484,3.0156,0,0,0.10913,0
6.4,122.82762,0.53344,3.07069,0,0,0.11099,0
6.5,124.44586,0.54156,3.11115,0,0,0.1127,0
6.6,126.2694,0.55031,3.15673,0,0,0.1143,0
6.7,128.05534,0.55859,3.20138,0,0,116,0
6.8,129.87732,0.56609,3.24693,0,0,0.11775,0
