Tiempo,Carga,Extension_de_traccion,Esfuerzo_de_traccion,Deformacion_dos,Deformacion_media,Desplazamiento_Deformacion_uno,Desplazamiento_Deformacion_dos
0,0.04112,0,0.00103,0,0,-0.00015,0
0.1,0.44078,0.00531,0.01102,0,0,0.00028,0
0.2,3.18512,0.01578,0.07963,0,0,0.00232,0
0.3,5.28216,0.02516,0.13205,0,0,0.00402,0
0.4,7.08141,0.03297,0.17704,0,0,0.00538,0
0.5,9.23409,0.04187,0.23085,0,0,0.00714,0
0.6,11.06234,0.05,0.27656,0,0,0.00847,0
0.7,13.17506,0.05812,0.32938,0,0,0.01036,0
0.8,14.97823,0.06656,0.37446,0,0,0.01179,0
0.9,17.09643,75,0.42741,0,0,0.01317,0
1,18.78441,0.08391,0.46961,0,0,0.01464,0
1.1,20.56564,0.09109,0.51414,0,0,0.01611,0
1.2,22.87975,0.10031,0.57199,0,0,0.01772,0
1.3,24.43842,0.10828,0.61096,0,0,0.01939,0
1.4,26.27373,0.11687,0.65684,0,0,0.02096,0
1.5,28.32375,125,0.70809,0,0,0.02208,0
1.6,30.23036,0.13328,0.75576,0,0,0.02378,0
1.7,32.18557,0.14172,0.80464,0,0,0.02526,0
1.8,34.00206,0.14969,0.85005,0,0,0.02688,0
1.9,35.88125,0.15812,0.89703,0,0,0.02826,0
2,37.83018,0.16641,0.94575,0,0,0.02978,0
2.1,39.6357,0.17547,0.99089,0,0,0.03134,0
2.2,41.51567,0.18312,1.03789,0,0,0.03276,0
2.3,43.71616,0.19187,1.0929,0,0,0.03425,0
2.4,45.31558,0.19984,1.13289,0,0,0.03567,0
2.5,47.25276,0.20797,1.18132,0,0,0.03723,0
2.6,49.10686,0.21672,1.22767,0,0,0.03886,0
2.7,51.14357,0.22469,1.27859,0,0,0.04035,0
2.8,53.13951,0.23406,1.32849,0,0,0.04193,0
2.9,54.74129,0.24156,1.36853,0,0,0.04348,0
3,56.91043,0.25031,1.42276,0,0,0.04474,0
3.1,58.53493,0.25812,1.46337,0,0,0.04631,0
3.2,60.57555,0.26656,1.51439,0,0,0.04802,0
3.3,62.1115,0.27484,1.55279,0,0,0.04935,0
