Tiempo,Carga,Extension_de_traccion,Esfuerzo_de_traccion,Deformacion_dos,Deformacion_media,Desplazamiento_Deformacion_uno,Desplazamiento_Deformacion_dos
0,0.51611,0,0.0129,0,0,-0.00032,0
0.1,0.9722,0.00531,0.0243,0,0,-0.00005,0
0.2,3.45401,0.01578,0.08635,0,0,0.0024,0
0.3,5.69446,0.02516,0.14236,0,0,0.00417,0
0.4,7.52271,0.03297,0.18807,0,0,0.00589,0
0.5,9.74278,0.04187,0.24357,0,0,0.0077,0
0.6,11.43076,0.05,0.28577,0,0,0.00912,0
0.7,13.82637,0.05812,0.34566,0,0,0.01127,0
0.8,15.22126,0.06656,0.38053,0,0,0.01264,0
0.9,17.17646,75,0.42941,0,0,0.01453,0
1,19.24216,0.08391,0.48105,0,0,0.01603,0
1.1,20.85725,0.09125,0.52143,0,0,0.01776,0
1.2,22.78189,0.10031,0.56955,0,0,0.01955,0
1.3,24.58742,0.10828,0.61469,0,0,0.02107,0
1.4,26.65154,0.11687,0.66629,0,0,0.02293,0
1.5,28.48293,125,0.71207,0,0,0.02448,0
1.6,30.12467,0.13328,0.75312,0,0,0.0262,0
1.7,32.26168,0.14172,0.80654,0,0,0.02777,0
1.8,34.12362,0.14969,0.85309,0,0,0.02934,0
1.9,36.10939,0.15828,0.90273,0,0,0.03084,0
2,37.96663,0.16641,0.94917,0,0,0.03269,0
2.1,40.01587,0.17547,1.0004,0,0,0.03435,0
2.2,41.31673,0.18312,1.03292,0,0,0.03573,0
2.3,43.7382,0.19187,1.09345,0,0,0.03762,0
2.4,45.42226,0.19984,1.13556,0,0,0.03918,0
2.5,47.24659,0.20797,1.18116,0,0,0.04109,0
2.6,49.09913,0.21656,1.22748,0,0,0.04255,0
2.7,51.03004,0.22469,1.27575,0,0,0.04402,0
2.8,52.92098,0.23406,1.32302,0,0,0.04585,0
2.9,54.71866,0.24156,1.36797,0,0,0.04745,0
3,56.57278,0.25031,1.41432,0,0,0.04913,0
3.1,58.29523,0.25812,1.45738,0,0,0.05102,0
3.2,60.36799,0.26656,1.5092,0,0,0.0527,0
3.3,62.15705,0.27484,1.55393,0,0,54,0
3.4,63.95631,0.28328,1.59891,0,0,0.05561,0
3.5,65.42956,0.29187,1.63574,0,0,0.05746,0
3.6,67.50231,0.29953,1.68756,0,0,0.05886,0
3.7,69.45516,0.30891,1.73638,0,0,0.06065,0
3.8,71.00678,0.31625,1.77517,0,0,0.06211,0
3.9,73.38594,0.32531,1.83465,0,0,0.06392,0
4,75.04571,0.33312,1.87614,0,0,0.06535,0
4.1,76.82772,0.34187,1.92069,0,0,0.06714,0
4.2,78.42322,0.35,1.96058,0,0,0.06858,0
4.3,80.37215,0.35766,2.0093,0,0,0.07016,0
4.4,82.41591,0.36687,2.0604,0,0,0.07178,0
4.5,84.26532,0.37484,2.10663,0,0,0.07346,0
4.6,85.80911,0.38391,2.14523,0,0,0.0752,0
