Tiempo,Carga,Extension_de_traccion,Esfuerzo_de_traccion,Deformacion_dos,Deformacion_media,Desplazamiento_Deformacion_uno,Desplazamiento_Deformacion_dos
0,0.52584,0,0.01315,0,0,0.00125,0
0.1,0.98035,0.00516,0.02451,0,0,0.0014,0
0.2,4.2897,0.01578,0.10724,0,0,0.00357,0
0.3,6.78483,0.02516,0.16962,0,0,0.00484,0
0.4,8.93124,0.03297,0.22328,0,0,0.00652,0
0.5,11.72024,0.04187,0.29301,0,0,0.00792,0
0.6,13.78986,0.04984,0.34475,0,0,0.0091,0
0.7,16.50755,0.05812,0.41269,0,0,0.01062,0
0.8,18.37185,0.06656,0.4593,0,0,0.01198,0
0.9,21.02371,75,0.52559,0,0,0.01348,0
1,23.4969,0.08391,0.58742,0,0,0.01475,0
1.1,25.56495,0.09125,0.63912,0,0,0.01602,0
1.2,27.6181,0.10031,0.69045,0,0,0.01733,0
1.3,30.17123,0.10828,0.75428,0,0,0.01891,0
1.4,32.68674,0.11687,0.81717,0,0,0.02051,0
1.5,34.75792,125,0.86895,0,0,0.02169,0
1.6,37.28518,0.13328,0.93213,0,0,0.02301,0
1.7,39.47469,0.14172,0.98687,0,0,0.02447,0
1.8,41.85698,0.14969,1.04642,0,0,0.0258,0
1.9,43.85842,0.15812,1.09646,0,0,0.02719,0
2,46.35512,0.16641,1.15888,0,0,0.02867,0
2.1,48.47802,0.17547,1.21195,0,0,0.0301,0
2.2,50.71063,0.18312,1.26777,0,0,0.03173,0
2.3,53.28335,0.19187,1.33208,0,0,0.03353,0
2.4,55.25892,0.19984,1.38147,0,0,0.03461,0
2.5,57.75014,0.20797,1.44375,0,0,0.03563,0
2.6,60.15515,0.21672,1.50388,0,0,0.03687,0
2.7,62.27335,0.22469,1.55683,0,0,0.03826,0
2.8,64.38842,0.23391,1.60971,0,0,0.03996,0
2.9,66.7229,0.24156,1.66807,0,0,0.04153,0
3,68.99235,0.25031,1.72481,0,0,0.04284,0
3.1,71.40677,0.25812,1.78517,0,0,0.04357,0
3.2,73.48186,0.26656,1.83705,0,0,0.04493,0
3.3,75.36732,0.27484,1.88418,0,0,0.04655,0
3.4,77.08664,0.28328,1.92717,0,0,0.04885,0
3.5,79.05595,0.29172,1.9764,0,0,0.04973,0
3.6,80.76822,0.29953,2.01921,0,0,0.05074,0
3.7,82.75398,0.30891,2.06885,0,0,0.05294,0
3.8,83.97647,0.31641,2.09941,0,0,0.05538,0
3.9,85.6331,0.32531,2.14083,0,0,0.05871,0
4,86.94258,0.33312,2.17356,0,0,0.06078,0
4.1,87.70194,0.34172,2.19255,0,0,0.06501,0
4.2,89.23004,0.35,2.23075,0,0,0.06786,0
4.3,90.60613,0.35781,2.26515,0,0,0.0709,0
4.4,92.48375,0.36687,2.31209,0,0,73,0
4.5,93.69214,0.37469,2.3423,0,0,0.07525,0
4.6,95.78996,0.38391,2.39475,0,0,0.07718,0
4.7,97.02813,0.39156,2.4257,0,0,0.07975,0
4.8,98.53508,0.40047,2.46338,0,0,0.08232,0
4.9,99.9856,0.40828,2.49964,0,0,0.08404,0
5,101.22533,0.41641,2.53063,0,0,0.08605,0
5.1,103.05281,425,2.57632,0,0,0.08703,0
5.2,104.57152,0.43312,2.61429,0,0,0.08875,0
5.3,106.55727,0.44219,2.66393,0,0,0.09039,0
5.4,108.16063,0.44953,2.70402,0,0,0.09146,0
5.5,110.3227,0.45891,2.75807,0,0,93,0
5.6,112.16035,0.46656,2.80401,0,0,0.09404,0
5.7,114.17042,0.47484,2.85426,0,0,0.09554,0
5.8,116.28469,0.48328,2.90712,0,0,0.09683,0
5.9,118.34491,0.49141,2.95862,0,0,0.0982,0
6,120.37847,0.50047,3.00946,0,0,0.09944,0
6.1,122.16597,0.50766,3.05415,0,0,0.10054,0
