Tiempo,Carga,Extension_de_traccion,Esfuerzo_de_traccion,Deformacion_dos,Deformacion_media,Desplazamiento_Deformacion_uno,Desplazamiento_Deformacion_dos
0,0.48714,0,0.01218,0,0,0.00041,0
0.1,1.25433,0.00469,0.03136,0,0,0.00037,0
0.2,4.33485,0.01578,0.10837,0,0,0.00286,0
0.3,6.77748,0.02516,0.16944,0,0,0.00446,0
0.4,9.02263,0.03297,0.22557,0,0,0.00604,0
0.5,11.71445,0.04187,0.29286,0,0,0.00794,0
0.6,13.70884,0.05,0.34272,0,0,0.00962,0
0.7,16.23767,0.05812,0.40594,0,0,0.01111,0
0.8,18.35195,0.06656,0.4588,0,0,0.01262,0
0.9,20.75853,75,0.51896,0,0,0.01451,0
1,22.89632,0.08391,0.57241,0,0,0.01611,0
1.1,25.0106,0.09125,0.62527,0,0,0.0176,0
1.2,27.46499,0.10031,0.68662,0,0,0.0193,0
1.3,29.66077,0.10828,0.74152,0,0,0.02098,0
1.4,32.28521,0.11687,0.80713,0,0,0.02261,0
1.5,34.20984,125,0.85525,0,0,0.02408,0
1.6,36.42992,0.13328,0.91075,0,0,0.02595,0
1.7,38.84826,0.14172,0.97121,0,0,0.02744,0
1.8,40.88496,0.14969,1.02212,0,0,0.02908,0
1.9,43.02275,0.15812,1.07557,0,0,0.03076,0
2,45.09549,0.16641,1.12739,0,0,0.03249,0
2.1,47.41587,0.17547,1.1854,0,0,0.03454,0
2.2,49.24883,0.18312,1.23122,0,0,0.03582,0
2.3,49.80286,0.19187,1.24507,0,0,0.04263,0
2.4,52.03077,0.19984,1.30077,0,0,0.04493,0
2.5,54.12311,0.20797,1.35308,0,0,0.04709,0
2.6,55.18887,0.21672,1.37972,0,0,0.05023,0
2.7,56.76479,0.22469,1.41912,0,0,0.05329,0
2.8,58.28036,0.23406,1.45701,0,0,0.05593,0
2.9,59.45505,0.24156,1.48638,0,0,0.05886,0
3,61.09287,0.25031,1.52732,0,0,0.06161,0
3.1,62.33339,0.25812,1.55833,0,0,0.06451,0
3.2,63.54256,0.26656,1.58856,0,0,0.06804,0
3.3,64.76583,0.27484,1.61915,0,0,0.07131,0
3.4,66.21637,0.28328,1.65541,0,0,0.07465,0
3.5,67.75074,0.29187,1.69377,0,0,0.07686,0
3.6,69.3149,0.29953,1.73287,0,0,0.07933,0
3.7,71.41038,0.30891,1.78526,0,0,0.08143,0
3.8,72.86013,0.31641,1.8215,0,0,0.08304,0
3.9,75.16327,0.32531,1.87908,0,0,0.08507,0
4,76.99308,0.33312,1.92483,0,0,0.08631,0
4.1,79.14498,0.34187,1.97862,0,0,0.08838,0
4.2,81.07511,0.35,2.02688,0,0,0.08986,0
4.3,83.27246,0.35766,2.08181,0,0,0.09138,0
4.4,85.09287,0.36687,2.12732,0,0,0.09284,0
4.5,87.32862,0.37484,2.18322,0,0,0.09465,0
4.6,89.6294,0.38391,2.24074,0,0,0.09626,0
4.7,91.52975,0.39156,2.28824,0,0,0.0976,0
4.8,93.65892,0.40047,2.34147,0,0,0.09945,0
4.9,95.53419,0.40828,2.38835,0,0,0.10076,0
5,97.51995,0.41641,2438,0,0,0.1026,0
5.1,99.57389,425,2.48935,0,0,0.10395,0
5.2,101.42173,0.43312,2.53554,0,0,0.10588,0
5.3,103.88709,0.44219,2.59718,0,0,0.10713,0
5.4,105.65422,0.44953,2.64136,0,0,0.10863,0
5.5,108.17364,0.45891,2.70434,0,0,0.11022,0
5.6,109.99875,0.46656,2.74997,0,0,0.11188,0
5.7,112.1146,0.47469,2.80287,0,0,0.1136,0
5.8,113.97498,0.48328,2.84937,0,0,0.11481,0
5.9,116.25226,0.49141,2.90631,0,0,0.11646,0
6,118.21765,0.50047,2.95544,0,0,0.11811,0
6.1,120.07176,0.50766,3.00179,0,0,0.11936,0
6.2,122.34983,0.51703,3.05875,0,0,0.12124,0
6.3,124.43041,0.52484,3.11076,0,0,0.12254,0
6.4,126.81348,0.53344,3.17034,0,0,0.12434,0
6.5,128.40037,0.54156,3.21001,0,0,0.12567,0
6.6,130.75758,0.55031,3.26894,0,0,0.12728,0
6.7,132.65557,0.55859,3.31639,0,0,0.12899,0
6.8,134.64525,0.56609,3.36613,0,0,0.13025,0
6.9,137.01187,0.57531,3.4253,0,0,0.13196,0
7,139.18885,0.58297,3.47972,0,0,0.13339,0
7.1,141.17226,0.59219,3.52931,0,0,0.13497,0
7.2,143.17683,0.59969,3.57942,0,0,0.13632,0
7.3,145.63199,0.60859,3.6408,0,0,138,0
7.4,147.35993,0.61672,3684,0,0,0.13948,0
7.5,149.60744,0.62453,3.74019,0,0,0.14094,0
7.6,151.78833,0.63328,3.79471,0,0,0.14235,0
7.7,153.84854,0.64156,3.84621,0,0,0.14379,0
7.8,155.8774,0.65031,3.89693,0,0,0.14518,0
7.9,157.92038,0.65797,3.94801,0,0,0.14658,0
8,159.99469,0.66687,3.99987,0,0,0.14822,0
8.1,162.07841,0.67484,4.05196,0,0,0.14952,0
8.2,164.64564,0.68312,4.11614,0,0,0.15116,0
8.3,166.56244,0.69156,4.16406,0,0,0.15251,0
8.4,168.8264,0.7,4.22066,0,0,0.15392,0
8.5,170.98143,0.70891,4.27454,0,0,0.1554,0
8.6,172.95544,0.71625,4.32389,0,0,0.15655,0
8.7,175.11987,0.72531,4378,0,0,0.15813,0
8.8,177.27412,0.73328,4.43185,0,0,0.15952,0
8.9,179.44718,0.74187,4.48618,0,0,0.16112,0
9,181.56224,0.75,4.53906,0,0,0.16248,0
9.1,183.60285,0.75828,4.59007,0,0,0.16389,0
9.2,185.84722,0.76672,4.64618,0,0,0.16512,0
9.3,187.99755,0.77469,4.69994,0,0,0.16644,0
9.4,190.08598,0.78312,4.75215,0,0,0.16785,0
9.5,192.0592,0.79141,4.80148,0,0,0.16949,0
9.6,194.23147,0.80047,4.85579,0,0,0.17097,0
9.7,196.08871,0.80812,4.90222,0,0,0.17245,0
9.8,198.60186,0.81672,4.96505,0,0,0.17375,0
9.9,200.58451,0.82484,5.01461,0,0,0.17533,0
10,202.81398,0.83297,5.07035,0,0,0.17679,0
10.1,204.8977,0.84172,5.12244,0,0,0.17798,0
10.2,206.83801,0.84969,5.17095,0,0,0.17958,0
10.3,209.02124,0.85906,5.22553,0,0,0.1812,0
10.4,211.14964,0.86656,5.27874,0,0,0.18216,0
10.5,213.13617,0.87531,5.3284,0,0,0.18386,0
10.6,215.30767,0.88328,5.38269,0,0,0.18525,0
10.7,217.80045,0.89156,5.44501,0,0,0.18679,0
10.8,219.71334,0.89984,5.49283,0,0,0.18813,0
10.9,221.90362,0.90828,5.54759,0,0,0.1896,0
11,223.72482,0.91672,5.59312,0,0,0.19083,0
11.1,225.94882,0.92453,5.64872,0,0,0.19232,0
11.2,228.32407,0.93391,5.7081,0,0,0.19394,0
11.3,230.15153,0.94125,5.75379,0,0,0.19538,0
11.4,232.61923,0.95031,5.81548,0,0,197,0
11.5,234.50861,0.95812,5.86272,0,0,0.19809,0
11.6,236.61035,0.96687,5.91526,0,0,0.19976,0
11.7,238.61728,975,5.96543,0,0,0.20099,0
11.8,240.65946,0.98266,6.01649,0,0,0.20239,0
11.9,242.89833,0.99187,6.07246,0,0,0.20385,0
12,244.90447,0.99984,6.12261,0,0,0.20529,0
12.1,247.07674,1.00891,6.17692,0,0,0.20672,0
12.2,248.98648,1.01656,6.22466,0,0,0.20792,0
12.3,251.37034,1.02531,6.28426,0,0,0.20969,0
12.4,253.18449,1.03328,6.32961,0,0,0.21078,0
12.5,255.51899,1.04141,6.38797,0,0,0.21235,0
12.6,257.40913,1.04984,6.43523,0,0,0.21394,0
12.7,259.52656,1.05812,6.48816,0,0,0.21528,0
12.8,261.70823,1.06719,6.54271,0,0,0.21684,0
12.9,263.70026,1.07453,6.59251,0,0,0.21791,0
13,265.86,1.08391,6.6465,0,0,0.21946,0
13.1,267.75408,1.09156,6.69385,0,0,0.22106,0
13.2,270.14106,1.09984,6.75353,0,0,0.22247,0
13.3,271.92228,1.10828,6.79806,0,0,0.22379,0
13.4,273.86104,1.11641,6.84653,0,0,0.22533,0
13.5,276.15007,1.12547,6.90375,0,0,0.22689,0
13.6,278.21106,1.13266,6.95528,0,0,0.2282,0
13.7,280.2697,1.14203,7.00674,0,0,0.22984,0
13.8,282.32208,1.14984,7.05805,0,0,0.23117,0
13.9,284.37211,1.15844,7.1093,0,0,0.23271,0
