Tiempo,Carga,Extension_de_traccion,Esfuerzo_de_traccion,Deformacion_dos,Deformacion_media,Desplazamiento_Deformacion_uno,Desplazamiento_Deformacion_dos
0,0.58202,0,0.01455,0,0,-0.00003,0
0.1,1.23323,0.00516,0.03083,0,0,0.00068,0
0.2,4.50261,0.01594,0.11257,0,0,0.00268,0
0.3,6.97658,0.02516,0.17441,0,0,0.00493,0
0.4,9.07754,0.03297,0.22694,0,0,0.00659,0
0.5,11.68552,0.04187,0.29214,0,0,0.00838,0
0.6,13.95967,0.04984,0.34899,0,0,0.01012,0
0.7,16.45402,0.05828,0.41135,0,0,0.01179,0
0.8,18.35907,0.06656,0.45898,0,0,0.01309,0
0.9,20.7155,75,0.51789,0,0,0.01527,0
1,23.02569,0.08391,0.57564,0,0,0.01657,0
1.1,25.09922,0.09125,0.62748,0,0,0.01819,0
1.2,27.20645,0.10031,0.68016,0,0,0.01998,0
1.3,29.44611,0.10828,0.73615,0,0,0.02134,0
1.4,32.06585,0.11687,0.80165,0,0,0.02351,0
1.5,34.08922,125,0.85223,0,0,0.02469,0
1.6,36.50129,0.13328,0.91253,0,0,0.02635,0
1.7,38.69786,0.14172,0.96745,0,0,0.02817,0
1.8,41.23766,0.14969,1.03094,0,0,0.02976,0
1.9,42.51422,0.15828,1.06286,0,0,0.03152,0
2,44.13794,0.16641,1.10345,0,0,0.03781,0
2.1,46.56489,0.17547,1.16412,0,0,0.03714,0
2.2,48.48405,0.18312,1.2121,0,0,0.03565,0
2.3,50.39458,0.19187,1.25986,0,0,0.04907,0
2.4,52.36624,0.19984,1.30916,0,0,0.03526,0
2.5,54.61844,0.20797,1.36546,0,0,0.04867,0
2.6,57.02032,0.21672,1.42551,0,0,0.04869,0
2.7,59.01548,0.22469,1.47539,0,0,0.03998,0
2.8,61.55372,0.23391,1.53884,0,0,0.05649,0
2.9,63.44231,0.24156,1.58606,0,0,0.0462,0
3,65.9829,0.25031,1.64957,0,0,0.04969,0
3.1,67.88873,0.25812,1.69722,0,0,0.05833,0
3.2,70.26161,0.26656,1.75654,0,0,0.04767,0
3.3,71.61419,0.27484,1.79035,0,0,0.05903,0
3.4,73.61954,0.28328,1.84049,0,0,0.05748,0
3.5,75.67191,0.29172,1.8918,0,0,0.05327,0
3.6,77.89434,0.29937,1.94736,0,0,0.06493,0
3.7,80.14341,0.30891,2.00359,0,0,0.05713,0
3.8,82.22635,0.31641,2.05566,0,0,0.06203,0
3.9,84.4088,0.32531,2.11022,0,0,0.06764,0
4,86.46353,0.33312,2.16159,0,0,0.06007,0
4.1,88.78391,0.34172,2.2196,0,0,0.07009,0
4.2,90.59178,0.34984,2.26479,0,0,0.06826,0
4.3,92.13244,0.35766,2.30331,0,0,0.06621,0
4.4,94.2765,0.36687,2.35691,0,0,0.07561,0
4.5,96.11964,0.37484,2.40299,0,0,0.06975,0
4.6,98.28171,0.38391,2.45704,0,0,0.07435,0
4.7,100.27139,0.39172,2.50678,0,0,0.07846,0
4.8,102.46091,0.40047,2.56152,0,0,0.07411,0
4.9,104.21785,0.40828,2.60545,0,0,0.08169,0
5,106.35955,0.41641,2.65899,0,0,0.08099,0
5.1,107.99738,425,2.69993,0,0,0.08032,0
5.2,110.34284,0.43312,2.75857,0,0,0.08748,0
5.3,111.94539,0.44219,2.79863,0,0,0.08382,0
5.4,113.87238,0.44953,2.84681,0,0,0.08747,0
