Tiempo,Carga,Extension_de_traccion,Esfuerzo_de_traccion,Deformacion_dos,Deformacion_media,Desplazamiento_Deformacion_uno,Desplazamiento_Deformacion_dos
0,0.71101,0,0.01778,0,0,-0.00052,0
0.1,1.27445,5,0.03186,0,0,-0.00058,0
0.2,4.11831,0.01578,0.10296,0,0,0.00188,0
0.3,6.69808,0.02516,0.16745,0,0,0.00345,0
0.4,8.88681,0.03297,0.22217,0,0,0.00517,0
0.5,11.33335,0.04187,0.28333,0,0,0.0066,0
0.6,13.46958,0.04984,0.33674,0,0,0.00811,0
0.7,15.9271,0.05812,0.39818,0,0,0.00958,0
0.8,17.91678,0.06656,0.44792,0,0,0.01082,0
0.9,20.28418,75,0.5071,0,0,0.01258,0
1,22.35693,0.08391,0.55892,0,0,0.01413,0
1.1,24.50726,0.09125,0.61268,0,0,0.0154,0
1.2,26.75084,0.10031,0.66877,0,0,0.01677,0
1.3,29.05241,0.10828,0.72631,0,0,0.01841,0
1.4,31.27562,0.11687,0.78189,0,0,0.01997,0
1.5,33.2747,125,0.83187,0,0,0.0212,0
1.6,35.78159,0.13328,0.89454,0,0,0.02306,0
1.7,37.85121,0.14172,0.94628,0,0,0.02444,0
1.8,40.02661,0.14969,1.00067,0,0,0.02597,0
1.9,41.91599,0.15812,1.0479,0,0,0.02764,0
2,43.79517,0.16641,1.09488,0,0,0.02886,0
2.1,45.87106,0.17547,1.14678,0,0,0.03052,0
2.2,46.67351,0.18312,1.16684,0,0,0.03068,0
2.3,49.51031,0.19187,1.23776,0,0,0.03984,0
2.4,51.30174,0.19984,1.28254,0,0,0.03558,0
2.5,53.57274,0.20797,1.33932,0,0,0.03677,0
2.6,55.46604,0.21656,1.38665,0,0,0.04504,0
2.7,57.41419,0.22469,1.43535,0,0,0.04346,0
2.8,59.83801,0.23406,1.49595,0,0,0.04098,0
2.9,61.90684,0.24156,1.54767,0,0,0.04821,0
3,64.08459,0.25047,1.60211,0,0,0.04975,0
3.1,66.16753,0.25812,1.65419,0,0,0.04585,0
3.2,68.5553,0.26656,1.71388,0,0,0.05089,0
3.3,70.41098,0.27484,1.76027,0,0,0.05511,0
3.4,72.53858,0.28328,1.81346,0,0,0.05166,0
3.5,74.5173,0.29187,1.86293,0,0,0.05371,0
3.6,76.23426,0.29953,1.90586,0,0,0.0595,0
3.7,77.91911,0.30891,1.94798,0,0,0.05764,0
3.8,80.24889,0.31625,2.00622,0,0,0.05705,0
3.9,82.33809,0.32531,2.05845,0,0,0.06308,0
4,84.16321,0.33312,2.10408,0,0,0.06387,0
4.1,86.52278,0.34187,2.16307,0,0,0.06145,0
4.2,89.00459,0.34984,2.22511,0,0,0.06601,0
4.3,91.06793,0.35766,2.2767,0,0,0.06914,0
4.4,93.1352,0.36687,2.32838,0,0,0.06674,0
4.5,95.22597,0.37484,2.38065,0,0,0.06919,0
4.6,97.51735,0.38391,2.43793,0,0,0.07382,0
4.7,99.37146,0.39156,2.48429,0,0,0.07259,0
4.8,101.95123,0.40047,2.54878,0,0,0.07306,0
4.9,103.80299,0.40828,2.59507,0,0,0.07767,0
5,106.24249,0.41641,2.65606,0,0,0.0784,0
5.1,108.19612,425,2.7049,0,0,0.07753,0
5.2,110.40051,0.43297,2.76001,0,0,0.08142,0
5.3,112.65507,0.44219,2.81638,0,0,0.08401,0
5.4,114.32581,0.44953,2.85815,0,0,0.08275,0
5.5,116.73552,0.45891,2.91839,0,0,0.08574,0
5.6,118.58571,0.46656,2.96464,0,0,0.08946,0
5.7,120.77445,0.47469,3.01936,0,0,0.08915,0
5.8,122.34409,0.48328,3.0586,0,0,0.0902,0
5.9,124.36826,0.49141,3.10921,0,0,0.09452,0
6,126.15497,0.50047,3.15387,0,0,0.09526,0
6.1,127.97695,0.50766,3.19942,0,0,0.09501,0
6.2,130.00895,0.51703,3.25022,0,0,0.09871,0
6.3,131.69065,0.52484,3.29227,0,0,0.10036,0
6.4,133.70385,0.53359,3.3426,0,0,0.10023,0
6.5,135.47019,0.54156,3.38675,0,0,0.10226,0
6.6,137.36348,0.55031,3.43409,0,0,0.10537,0
6.7,139.11414,0.55859,3.47785,0,0,0.10519,0
6.8,140.86169,0.56625,3.52154,0,0,0.10658,0
6.9,142.80983,0.57531,3.57025,0,0,0.10978,0
7,144.58871,0.58297,3.61472,0,0,0.11034,0
7.1,146.6066,0.59219,3.66516,0,0,0.11101,0
7.2,148.30633,0.59984,3.70766,0,0,0.11362,0
7.3,150.46294,0.60859,3.76157,0,0,0.11522,0
7.4,152.08978,0.61672,3.80224,0,0,0.11552,0
7.5,154.37255,0.62453,3.85931,0,0,0.11796,0
7.6,156.39437,0.63328,3.90986,0,0,0.12011,0
7.7,158.36523,0.64156,3.95913,0,0,0.12047,0
7.8,160.67307,0.65047,4.01683,0,0,0.12234,0
7.9,162.45196,0.65797,4.0613,0,0,0.12445,0
8,164.5631,0.66687,4.11408,0,0,0.12542,0
8.1,166.58648,0.67484,4.16466,0,0,0.12652,0
8.2,168.92959,0.68312,4.22324,0,0,0.1289,0
8.3,170.85266,0.69156,4.27132,0,0,0.13016,0
8.4,173.01005,0.7,4.32525,0,0,0.13096,0
8.5,175.22307,0.70891,4.38058,0,0,0.13312,0
8.6,176.95414,0.71625,4.42385,0,0,0.13463,0
8.7,179.2902,0.72531,4.48225,0,0,0.1356,0
8.8,181.30025,0.73328,4.53251,0,0,0.13726,0
8.9,183.39965,0.74187,4.58499,0,0,0.13942,0
9,185.3329,0.75,4.63332,0,0,0.13994,0
9.1,187.52477,0.75828,4.68812,0,0,0.1415,0
9.2,189.52463,0.76672,4.73812,0,0,0.14336,0
9.3,191.73295,0.77453,4.79332,0,0,0.14465,0
9.4,193.65994,0.78328,4.8415,0,0,0.14592,0
9.5,195.77343,0.79141,4.89434,0,0,0.14781,0
9.6,197.96765,0.80047,4.94919,0,0,0.1491,0
9.7,199.98006,0.80812,4.9995,0,0,0.15013,0
9.8,201.95877,0.81672,5.04897,0,0,0.15203,0
9.9,204.12477,0.82484,5.10312,0,0,0.15355,0
10,206.16148,0.83297,5.15404,0,0,0.1547,0
10.1,208.10491,0.84172,5.20262,0,0,0.15619,0
10.2,210.26074,0.84969,5.25652,0,0,0.15792,0
10.3,212.37815,0.85906,5.30945,0,0,0.15916,0
10.4,214.35295,0.86656,5.35882,0,0,0.1606,0
10.5,216.56675,0.87531,5.41417,0,0,0.16225,0
10.6,218.60814,0.88328,5.4652,0,0,0.16364,0
10.7,220.72948,0.89156,5.51824,0,0,0.16519,0
10.8,222.78342,0.89984,5.56959,0,0,0.16643,0
10.9,224.68925,0.90828,5.61723,0,0,0.16829,0
11,226.62093,0.91672,5.66552,0,0,0.16933,0
11.1,228.66235,0.92453,5.71656,0,0,0.17081,0
11.2,230.88085,0.93391,5.77202,0,0,0.17245,0
11.3,232.88543,0.94125,5.82214,0,0,0.17382,0
11.4,235.08042,0.95031,5.87701,0,0,0.17549,0
11.5,236.94551,0.95812,5.92364,0,0,0.17686,0
11.6,239.23374,0.96672,5.98084,0,0,0.17818,0
11.7,240.98521,975,6.02463,0,0,0.17953,0
11.8,243.16453,0.98266,6.07911,0,0,0.18122,0
11.9,245.05234,0.99187,6.12631,0,0,0.18267,0
12,247.16349,0.99984,6.17909,0,0,0.18398,0
12.1,249.46663,1.00891,6.23667,0,0,0.18553,0
12.2,251.08408,1.01656,6.2771,0,0,0.18699,0
12.3,253.6607,1.02531,6.34152,0,0,0.18859,0
12.4,255.19666,1.03328,6.37992,0,0,0.18977,0
12.5,257.62282,1.04141,6.44057,0,0,0.19159,0
12.6,259.41895,1.04984,6.48547,0,0,0.19266,0
12.7,261.14611,1.05812,6.52865,0,0,0.1942,0
12.8,263.34736,1.06719,6.58368,0,0,0.19556,0
12.9,265.16151,1.07453,6.62904,0,0,0.19709,0
13,267.6355,1.08391,6.69089,0,0,0.19843,0
13.1,269.25607,1.09156,6.7314,0,0,0.19991,0
13.2,271.65168,1.09984,6.79129,0,0,0.20146,0
13.3,273.40157,1.10828,6.83504,0,0,0.2028,0
13.4,275.46571,1.11641,6.88664,0,0,0.20416,0
13.5,277522,1.12547,6.93805,0,0,0.20554,0
13.6,279.40432,1.13266,6.98511,0,0,0.20714,0
13.7,281.83598,1.14203,7.0459,0,0,0.20843,0
13.8,283.38446,1.14984,7.08461,0,0,0.20991,0
13.9,285.71424,1.15844,7.14286,0,0,0.2117,0
